"운영기관","충전소","충전기ID","충전기타입","시설구분(대)","시설구분(소)","지역","시군구","주소","이용가능시간","이용자 제한","충전용량","편의제공","비고"
"서울시","50동부캠퍼스","01","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","02","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","03","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","04","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","05","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","06","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","07","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","08","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","09","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","10","AC완속","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","완속(7kW단독)","",""
"서울시","50동부캠퍼스","11","DC콤보","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","급속(50kW단독)","",""
"서울시","50동부캠퍼스","12","DC콤보","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","급속(100kW단독)","",""
"서울시","50동부캠퍼스","13","DC콤보","공공시설","지자체시설","서울특별시","광진구 ","서울특별시 광진구 능동로3길 66-12 50 동부캠퍼스","24시간 이용가능","","급속(100kW단독)","",""
"서울시","광진구 자양동 거주자우선주차장 가로등형 충전기","01","DC콤보","공동주택시설","아파트","서울특별시","광진구 ","서울특별시 광진구 자양번영로3길 65 (서울특별시 광진구 뚝섬로36길 39 전기차충전소)구획번호 620-2 옆","24시간 이용가능","","급속(50kW단독)","",""
"서울시","어린이대공원 구의문 주차장 복합충전소","01","DC콤보","주차시설","공영주차장","서울특별시","광진구 ","서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점구의문 주차장","24시간 이용가능","","급속(200kW동시)","",""
"서울시","어린이대공원 구의문 주차장 복합충전소","02","DC콤보","주차시설","공영주차장","서울특별시","광진구 ","서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점구의문 주차장","24시간 이용가능","","급속(200kW동시)","",""
"서울시","어린이대공원 구의문 주차장 복합충전소","03","DC콤보","주차시설","공영주차장","서울특별시","광진구 ","서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점구의문 주차장","24시간 이용가능","","급속(200kW동시)","",""
"서울시","어린이대공원 구의문 주차장 복합충전소","04","DC콤보","주차시설","공영주차장","서울특별시","광진구 ","서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점구의문 주차장","24시간 이용가능","","급속(200kW동시)","",""
"서울시","어린이대공원 구의문 주차장 복합충전소","05","DC콤보","주차시설","공영주차장","서울특별시","광진구 ","서울특별시 광진구 능동로 216 (능동, 어린이대공원 구의문공영주차장) 지상1층 진입로 정면 10M지점구의문 주차장","24시간 이용가능","","급속(200kW동시)","",""
