,주소,충전소명,위도,경도
0,서울 광진구 천호대로 666,그랜드파크 오피스텔,37.5513556,127.089346
1,서울특별시 광진구 강변역로 17,서울시 구의3동 주민센터,37.5379468,127.0921464
2,서울특별시 광진구 강변역로 17 ,서울시 구의3동 주민센터,37.5379926071,127.0919839534
3,서울특별시 광진구 강변역로 2,서울광진우체국,37.5369105,127.0896931
4,서울특별시 광진구 강변역로4길 56,광진해모로리버뷰,37.5333578,127.0921185
5,서울특별시 광진구 광나루로 369,광진두산위브파크,37.5484623,127.0710481
6,서울특별시 광진구 광나루로 369,서울광진 광진두산위브파크,37.5484611,127.0710495
7,서울특별시 광진구 광나루로 369,광진두산위브파크101동,37.5484381,127.0708285
8,서울특별시 광진구 광나루로 369,광진두산위브파크,37.5484611,127.0710495
9,서울특별시 광진구 광나루로 410,kcc파크타운,37.5465623,127.075048
10,서울특별시 광진구 광나루로 458,이편한세상광진그랜드파크,37.5440628,127.0810419
12,서울특별시 광진구 광나루로 520,신용보증기금 (광진),37.54467212,127.08729761
13,서울특별시 광진구 광나루로 556,씨엔씨빌딩,37.5443,127.09119
14,서울특별시 광진구 광나루로 56길 85,강변테크노마트 주차장,37.5357263,127.0957093
15,서울특별시 광진구 광나루로 56길 85,강변테크노마트 주차장,37.535175,127.095752
18,서울특별시 광진구 광나루로 579,서울시 광진구 광장동금호베스트빌,37.54411872,127.0939942
19,서울특별시 광진구 광나루로52길 83,구의3동 공영주차장,37.5392495,127.0914441
21,서울특별시 광진구 광나루로52길 83,광진 구의3동 공영주차장,37.53911547,127.091361
22,서울특별시 광진구 광나루로52길 83,구의3동 공영주차장,37.5391261,127.0913590
23,서울특별시 광진구 광나루로56길 29,서울광진 현대프라임4,37.537622764,127.09757462
24,서울특별시 광진구 광나루로56길 29,서울광진 현대프라임5,37.538079799,127.09784394
25,서울특별시 광진구 광나루로56길 29,서울광진 현대프라임2,37.536339457,127.09682337
26,서울특별시 광진구 광나루로56길 29,서울광진 현대프라임1,37.5369577,127.0965367
27,서울특별시 광진구 광나루로56길 29,서울광진 현대프라임3,37.536760167,127.09744055
28,서울특별시 광진구 광장로 1,사단법인나섬공동체,37.54555,127.0982
29,서울특별시 광진구 광장로 52,서울시 광장동 주민센터,37.5468920,127.1030250
30,서울특별시 광진구 광장로 52 ,서울시 광장동 주민센터,37.5468817707,127.1030121682
31,서울특별시 광진구 광장로5길 25-1,장로회신학대학교,37.5498569,127.1032818
32,서울특별시 광진구 광장로5길 25-1,장로회신학대학교,37.5502004223,127.1037274139
33,서울특별시 광진구 광장로5길 25-1,광진 장로회신학대학,37.5498636,127.103315
34,서울특별시 광진구 구의강변로 102,폴라트리움,37.539412,127.09464
35,서울특별시 광진구 구의강변로 106,구의삼성쉐르빌상가,37.53993849,127.09460746
36,서울특별시 광진구 구의강변로 11,자양한양아파트 앞 전기차 충전소,37.531773223,127.09169799
37,서울특별시 광진구 구의강변로 11 정문 앞 유료 48번정문 앞 유료 48번,자양한양아파트 앞 전기차 충전소,37.5321071,127.0909890
38,서울특별시 광진구 구의강변로 22,서울시 광진구 동서울길공영P,37.532908979,127.09187249
39,서울특별시 광진구 구의강변로 64,서울광진 구의아크로리버2,37.535671693,127.09248063
40,서울특별시 광진구 구의강변로 64,서울광진 구의아크로리버1,37.5358286,127.0925837
